NEMO,PRICE,PE,BV,CURRENT RATIO,UNINT. DIV.,HIST. DIV. YIELD (%),CURRENT YEAR DIV. YIELD (%),OP. MARGIN (%),ROIC (%),ROE (%)
EDELMAG,6000.0,10.87,1.44,1.58,31,6.25,1.09,2236,11.68,12.9
EDELPA,115.49,0.0,0.42,1.25,0,1.52,0.00,-9533,-8.206,-9.962
EISA,265.14,13.17,1.37,1.28,6,1.30,2.97,6685,7.719,11.44
ELECMETAL,11100.0,21.0,1.14,2.54,34,4.04,1.82,8712,3.915,6.667
ELUXSA,908.05,0.0,2.04,1.25,0,3.50,0.00,-1032,-17,-17.01
EMBONOR-A,1000.0,13.17,1.24,1.05,15,4.76,2.30,1229,7.914,12.33
EMBONOR-B,1060.0,13.96,1.31,1.05,15,4.35,2.32,1229,7.914,12.33
EMILIANA,32.0,20.59,0.69,1.97,33,2.17,1.54,8025,2.272,2.826
ENAEX,7111.7,13.68,1.69,1.66,28,3.83,2.50,164,9.128,12.21
ENELAM,113.47,7.94,1.33,0.98,16,3.98,6.38,2042,11.92,18.67
ENELCHILE,63.6,0.0,1.53,0.98,4,3.30,6.38,2586,5.114,8.577
ENELDXCH,1369.0,15.22,1.78,0.91,14,5.00,2.26,108,13.57,14.74
ENELGXCH,294.28,0.0,1.81,1.21,17,4.67,9.10,2949,7.058,9.981
ENJOY,5.07,0.0,0.16,0.86,0,0.83,0.00,3107,-6.122,-18.08
ENLASA,690.0,18.29,0.47,1.06,8,6.36,9.40,2813,3.081,4.185
ENTEL,5325.3,11.54,0.96,1.44,1,0.34,3.12,676,4.299,10.36
EPERVA,150.0,0.0,0.25,0.89,0,2.77,0.00,-4204,-1.497,-1.641
ESPANOLA,2400.0,16.23,0.52,0,35,7.93,5.62,877,4.199,4.199
ESPANOLVAL,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
ESSAL-A,0.0,0.0,0.0,0.71,0,0.52,0.00,2759,-0.712,-1.45
ESSAL-B,110.0,0.0,11.27,0.71,0,0.52,0.00,2759,-0.712,-1.45
ESSBIO-A,15.0,19.74,1.08,0.97,0,8.84,0.00,2851,2.757,5.724
ESSBIO-B,0.0,0.0,0.0,0.97,0,6.39,0.00,2851,2.757,5.724
ESSBIO-C,12.0,15.79,0.86,0.97,0,8.27,0.00,2851,2.757,5.724
ESTACIONAM,6500000.0,19.4,32.27,1.68,11,6.17,0.74,6151,123.4,149.1
ESVAL-A,0.001,0.0,0.0,1.06,6,12.61,0.00,2781,2.536,4.986
ESVAL-B,0.0,0.0,0.0,1.06,6,12.61,0.00,2781,2.536,4.986
ESVAL-C,0.017,0.0,0.0,1.06,6,4.61,0.00,2781,2.536,4.986
FALABELLA,2709.0,28.05,1.27,2.35,24,1.47,1.41,7614,3.373,5.722
FEPASA,5.8,10.03,0.39,1.09,3,0.00,0.01,3965,2.775,3.403
FERIAOSOR,173.82,5.05,0.87,1.27,17,4.32,4.03,4245,13.68,13.98
FORUS,986.42,20.58,1.09,4.61,14,2.18,1.43,7851,9.461,10.3
FOSFOROS,1040.0,31.47,1.03,3.42,37,12.92,3.39,7615,3.377,3.377
FROWARD,462.97,6.14,0.86,0.92,14,7.47,11.23,3741,13.24,15.41
GASCO,1971.5,16.83,1.22,1.22,42,5.98,3.08,123,2.138,3.683
GENERADORA,0.0,0.0,0.0,0,0,0.00,0.00,0,0,0
GOLF,16000000.0,0.0,132.28,0.01,0,0.00,0.00,0,0.507,0.507
GRANADILLA,27000.0,0.0,1.74,0,0,0.00,0.00,0,0,0
HABITAT,500.0,5.83,1.23,0,37,6.79,5.33,8135,28.6,32.5
HF,880.0,69.19,1.03,1.12,8,1.19,0.63,8735,0.407,0.649
HIPERMARC,3.6,0.0,0.06,2.22,0,0.00,0.00,1174,-0.939,-1.091
HIPICO,15500000.0,0.0,0.61,0.79,0,1.29,0.00,-1231,-2.686,-2.9
HIPODROMOA,430000.0,0.0,1.56,0.87,0,0.78,0.00,-3615,-0.662,-0.687
HIPODROMOB,3000000.0,0.0,10.88,0.87,0,0.07,0.00,-3615,-0.662,-0.687
HITES,131.0,34.76,0.4,2.54,10,4.04,3.57,6553,2.172,4.723
